Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
dnsforfamily-no-safe-search,dnsforfamily-no-safe-search,"(DNSCrypt Protocol) (Now supports DNSSEC) Block adult websites, gambling websites, malwares and advertisements.",,,,2,yes,yes,no,135.181.193.222,dnsforfamily.com,EBC5:C67F:845B:4613:AB5F:013B:D065:88F1:825E:694D:8FDE:D9C4:47FE:6B3C:6C45:A87C,
dnsforfamily-v6,dnsforfamily-v6,"(DNSCrypt Protocol) (Now supports DNSSEC) Block adult websites, gambling websites, malwares and advertisements.",,,,2,yes,yes,no,[2a01:4f8:1c17:4df8::1],dnsforfamily.com,1325:E2CE:0015:CD49:8712:248A:2A47:9FE2:518C:FCED:8E0E:79C3:0B07:CE1A:1002:8FAD,
dnswarden-uncensor-dc,dnswarden-uncensor-dc,Hosted in multiple locations.,,,,2,yes,yes,no,137.66.6.146,2.dnscrypt-cert.dnswarden-uncensored-anycast,E0FC:B0AE:080A:58DC:2B6E:7002:9FC9:0CAA:9378:3D34:0ABA:D3BA:FDD3:AA95:0D65:412E,
dnswarden-uncensor-dc-swiss,dnswarden-uncensor-dc-swiss,Hosted in switzerland.,,,,2,yes,yes,no,188.244.117.114:1443,2.dnscrypt-cert.dnswarden-uncensored-swiss,E2B4:27A5:CE37:8623:3E65:E396:89C8:E4BC:7465:E9C1:E438:A7EE:1AD7:FBCB:9894:3C47,
doh.tiar.app,doh.tiar.app,Non-Logging DNSCrypt server located in Singapore.,,,,2,yes,yes,no,174.138.21.128,2.dnscrypt-cert.dns.tiar.app,EF96:8066:E8D9:94F0:65D8:3EDD:D31A:EEED:F56D:8657:463E:4ACA:47CD:D7FE:97C3:D4F6,
doh.tiar.app-ipv6,doh.tiar.app-ipv6,Non-Logging DNSCrypt (IPv6) server located in Singapore.,,,,2,yes,yes,no,[2400:6180:0:d0::5f6e:4001],2.dnscrypt-cert.dns.tiar.app,EF96:8066:E8D9:94F0:65D8:3EDD:D31A:EEED:F56D:8657:463E:4ACA:47CD:D7FE:97C3:D4F6,
faelix-ch-ipv4,faelix-ch-ipv4,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv4 nodes anycast within AS41495 in Switzerland.",,,,2,no,yes,no,185.134.196.54:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
faelix-uk-ipv4,faelix-uk-ipv4,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv4 nodes anycast within AS41495 in the UK.",,,,2,no,yes,no,46.227.200.54:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
faelix-uk-ipv6,faelix-uk-ipv6,"An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv6 nodes anycast within AS41495 in the UK.",,,,2,no,yes,no,[2a01:9e00::54]:8443,2.dnscrypt-cert.rdns.faelix.net,7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1,
ffmuc.net,ffmuc.net,"An open (non-logging, non-filtering, non-censoring) DNSCrypt resolver operated by Freifunk Munich with nodes in DE.",,,,2,yes,yes,no,5.1.66.255:8443,2.dnscrypt-cert.ffmuc.net,07D0:7AF1:CFDC:5D99:769D:3F02:6690:A704:4965:C274:276C:791C:AEF5:AEF3:B90C:46FA,
ffmuc.net-v6,ffmuc.net-v6,"An open (non-logging, non-filtering, non-censoring) DNSCrypt resolver operated by Freifunk Munich with nodes in DE.",,,,2,yes,yes,no,[2001:678:e68:f000::]:8443,2.dnscrypt-cert.ffmuc.net,07D0:7AF1:CFDC:5D99:769D:3F02:6690:A704:4965:C274:276C:791C:AEF5:AEF3:B90C:46FA,
ibksturm,ibksturm,"DNSCRYPT V2 Server, No Logging, No Filters, DNSSEC",,,,2,yes,yes,no,213.196.191.96:8443,2.dnscrypt-cert.ibksturm,1CAD:0052:1AA2:2D2B:8115:1D3B:8E90:612A:F928:FE8C:AAC9:69E8:B7CC:F871:C7BB:70A9,
jp.tiar.app,jp.tiar.app,"Non-Logging, Non-Filtering DNSCrypt server in Japan.",,,,2,yes,yes,no,172.104.93.80:1443,2.dnscrypt-cert.jp.tiar.app,32B8:763E:F1BF:6536:A1DE:6A13:C0CD:6F48:A179:E388:B699:A537:8D6D:5B3C:4CDF:5453,
jp.tiar.app-ipv6,jp.tiar.app-ipv6,"Non-Logging, Non-Filtering DNSCrypt (IPv6) server in Japan.",,,,2,yes,yes,no,[2400:8902::f03c:91ff:feda:c514]:1443,2.dnscrypt-cert.jp.tiar.app,32B8:763E:F1BF:6536:A1DE:6A13:C0CD:6F48:A179:E388:B699:A537:8D6D:5B3C:4CDF:5453,
meganerd,meganerd,DNSCrypt server by MegaNerd.nl (IPv4) - https://meganerd.nl/encrypted-dns-server,,,,2,yes,yes,no,136.244.97.114,2.dnscrypt-cert.chewbacca.meganerd.nl,289F:E95F:4CE8:417F:F57A:3F30:7C24:0CDE:1926:3111:A294:8937:C841:B945:A0F5:878C,
meganerd-ipv6,meganerd-ipv6,DNSCrypt server by MegaNerd.nl (IPv6) - https://meganerd.nl/encrypted-dns-server,,,,2,yes,yes,no,[2001:19f0:5001:cbb:5400:3ff:fe07:f70d],2.dnscrypt-cert.chewbacca.meganerd.nl,289F:E95F:4CE8:417F:F57A:3F30:7C24:0CDE:1926:3111:A294:8937:C841:B945:A0F5:878C,
openinternet,openinternet,"DNSCrypt resolver colocated at Sonic.net in Santa Rosa, CA in the United States.",,,,2,yes,yes,no,70.36.170.126,2.dnscrypt-cert.openinternet,1D18:6875:29E1:EA7D:25CA:5F13:D1DE:5ED8:E49A:A6CA:E5E3:9E6C:B293:925B:F70B:950D,
oszx,oszx,Secure DNS Project by PumpleX - Hosted in the UK by OVH,,,,2,no,yes,no,51.38.83.141:5353,2.dnscrypt-cert.oszx.co,CC26:F7FA:18C3:6E8F:E092:15A0:3849:FF99:050D:D371:5F59:1EE1:F133:2F55:796F:0123,
plan9dns-fl,plan9dns-fl,"Miami Florida, US No-logs, no-filters, DNSSEC -info https://jlongua.github.io/plan9-dns",,,,2,yes,yes,no,149.28.101.119:8443,2.dnscrypt-cert.pluton.plan9-dns.com,55A1:55E1:AF12:B487:F1F1:F9C2:C43C:5597:1A69:AA6F:A125:8C82:2AAB:4CB5:010D:9C2C,
plan9dns-mx,plan9dns-mx,"Mexico City, Mexico No-logs, no-filters, DNSSEC -info https://jlongua.github.io/plan9-dns",,,,2,yes,yes,no,216.238.80.219:8443,2.dnscrypt-cert.helios.plan9-dns.com,2A63:C2BA:2DF9:AED3:A3F7:293B:734E:EC12:D0BF:2A1C:A8FF:DFC7:7293:B6DC:60AB:A0DB,
plan9dns-nj,plan9dns-nj,"Piscataway New Jersey, US No-logs, no-filters, DNSSEC -info https://jlongua.github.io/plan9-dns",,,,2,yes,yes,no,207.246.87.96:8443,2.dnscrypt-cert.kronos.plan9-dns.com,B099:0948:0E92:A4F1:28A2:CAB2:5B3E:02A1:1F10:AB04:92DB:F195:A5BB:AB6F:AF52:AF93,
pryv8boi,pryv8boi,"By pryv8, non Logging, uncensored, DNSSEC - hosted on contabo servers",,,,2,yes,yes,no,164.68.121.162:4443,2.dnscrypt-cert.pryv8boi.org,1ED2:8D7D:7A54:3333:F22E:75CA:F036:AE1E:95A6:D51A:A1CF:B2EA:C010:664B:3758:F412,
quad9-dnscrypt-ip4-filter-ecs-pri,quad9-dnscrypt-ip4-filter-ecs-pri,Quad9 (anycast) dnssec/no-log/filter/ecs 9.9.9.11 - 149.112.112.11,,,,2,yes,yes,no,9.9.9.11:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
quad9-dnscrypt-ip4-filter-pri,quad9-dnscrypt-ip4-filter-pri,Quad9 (anycast) dnssec/no-log/filter 9.9.9.9 - 149.112.112.9 - 149.112.112.112,,,,2,yes,yes,no,9.9.9.9:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
quad9-dnscrypt-ip4-nofilter-ecs-pri,quad9-dnscrypt-ip4-nofilter-ecs-pri,Quad9 (anycast) no-dnssec/no-log/no-filter/ecs 9.9.9.12 - 149.112.112.12,,,,2,no,yes,no,9.9.9.12:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
quad9-dnscrypt-ip4-nofilter-pri,quad9-dnscrypt-ip4-nofilter-pri,Quad9 (anycast) no-dnssec/no-log/no-filter 149.112.112.10,,,,2,no,yes,no,149.112.112.10:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
safesurfer,safesurfer,"Family safety focused blocklist for over 2 million adult sites, as well as phishing and malware and more.",,,,2,no,yes,no,104.155.237.225,2.dnscrypt-cert.safesurfer.co.nz,2720:7FD5:1204:E836:7B48:3400:5DF9:FFD1:D30B:BE2A:9C33:639E:6EDB:F8AE:D91D:40D8,
saldns01-conoha-ipv4,saldns01-conoha-ipv4,Hosted on ConoHa VPS Tokyo region. No log. No filter. From experimental [&mu;ODNS project](https://junkurihara.github.io/dns/).,,,,2,yes,yes,no,118.27.108.140:50443,2.dnscrypt-cert.saldns01.typeq.org,F2FF:25DB:6DCA:D021:7287:06F2:F647:E445:64FA:E40A:2A8B:1EEF:66C3:D238:B91B:EC65,
saldns02-conoha-ipv4,saldns02-conoha-ipv4,Hosted on ConoHa VPS Tokyo region. No log. No filter. From experimental [&mu;ODNS project](https://junkurihara.github.io/dns/).,,,,2,yes,yes,no,133.130.118.103:50443,2.dnscrypt-cert.saldns02.typeq.org,7B48:8D2A:E3F1:5FF2:5151:5026:E33E:D700:4371:DF75:694B:C721:8351:435C:DCD5:1976,
saldns03-conoha-ipv4,saldns03-conoha-ipv4,Hosted on ConoHa VPS Tokyo region. No log. No filter. From experimental [&mu;ODNS project](https://junkurihara.github.io/dns/).,,,,2,yes,yes,no,133.130.98.250:50443,2.dnscrypt-cert.saldns03.typeq.org,5975:35F3:B031:DDB8:9119:6BD2:65D1:E2B2:A8F9:CFE3:315E:C305:4568:A031:18D7:115E,
sby-limotelu,sby-limotelu,"non-censoring, non-logging, DNSSEC-capable Hosted in Surabaya, Indonesia (Dnscrypt) https://limotelu.org maintained by poentodewo (https://github.com/poentodewo)",,,,2,yes,yes,no,199.180.130.39:8443,2.dnscrypt-cert.sby-limotelu,D54E:4C61:20CA:E7CB:9574:9F1D:2ADA:7451:9682:2921:B4CE:7C10:2D51:D82A:4D50:CAEC,
scaleway-ams,scaleway-ams,DNSSEC/Non-logged/Uncensored in Amsterdam - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,51.15.122.250,2.dnscrypt-cert.scaleway-ams,E90D:D97D:AA5C:6C78:221C:A2C5:ED01:6896:2D13:CB55:6CCF:7457:B354:546F:152B:C190,
scaleway-ams-ipv6,scaleway-ams-ipv6,DNSSEC/Non-logged/Uncensored in Amsterdam - IPv6 only - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,[2001:bc8:1820:50d::1],2.dnscrypt-cert.scaleway-ams,E90D:D97D:AA5C:6C78:221C:A2C5:ED01:6896:2D13:CB55:6CCF:7457:B354:546F:152B:C190,
scaleway-fr,scaleway-fr,DNSSEC/Non-logged/Uncensored in Paris - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,212.47.228.136,2.dnscrypt-cert.fr.dnscrypt.org,E801:B84E:A606:BFB0:BAC0:CE43:445B:B15E:BA64:B02F:A3C4:AA31:AE10:636A:0790:324D,
scaleway-fr-ipv6,scaleway-fr-ipv6,DNSSEC/Non-logged/Uncensored in Paris - IPv6 only - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,[2001:bc8:47b0:1a01::1],2.dnscrypt-cert.fr.dnscrypt.org,E801:B84E:A606:BFB0:BAC0:CE43:445B:B15E:BA64:B02F:A3C4:AA31:AE10:636A:0790:324D,
serbica,serbica,Public DNSCrypt server in the Netherlands by https://litepay.ch,,,,2,yes,yes,no,185.66.143.178:5353,2.dnscrypt-cert.serbica,F98D:8C42:618E:5E28:2000:42AE:94DF:884C:6127:FCA8:F74C:83F5:50AD:57DB:0877:A3BC,
sfw.scaleway-fr,sfw.scaleway-fr,"Uses deep learning to block adult websites. Free, DNSSEC, no logs.",,,,2,yes,yes,no,163.172.180.125,2.dnscrypt-cert.sfw.scaleway-fr,DF62:73BF:C752:192A:8B5A:39BC:0C85:AC3F:F964:45D7:3644:F662:7282:5D35:58F1:A1FF,
sth-dnscrypt-se,sth-dnscrypt-se,"Resolver in Stockholm, Sweden. DNSCrypt server. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,45.153.187.96:4343,2.dnscrypt-cert.sth-dnscrypt-se,F170:7F00:56F3:7946:AAF7:F875:2A46:3A60:5055:70DC:D822:27E2:064C:26C4:56EF:FFEF,
sth-dnscrypt-se-ipv6,sth-dnscrypt-se-ipv6,"Resolver in Stockholm, Sweden. DNSCrypt server. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,[2a09:cd42:f:425b::1]:4343,2.dnscrypt-cert.sth-dnscrypt-se,F170:7F00:56F3:7946:AAF7:F875:2A46:3A60:5055:70DC:D822:27E2:064C:26C4:56EF:FFEF,
techsaviours.org-dnscrypt,techsaviours.org-dnscrypt,"No filter | No logs | DNSSEC | Nuremberg, Germany (netcup) | Maintained by https://techsaviours.org/",,,,2,yes,yes,no,89.58.6.169:4434,2.dnscrypt-cert.techsaviours.org,0788:AC16:5EE0:0F6F:9E7C:784C:12D1:63C8:2CFF:9C71:4269:0F0E:B1B0:5381:909A:DF3B,
userspace-australia,userspace-australia,DNSCrypt in Australia (Brisbane & Melbourne) by UserSpace.,,,,2,yes,yes,no,103.16.131.77:54,2.dnscrypt-cert.userspace-bne,9D13:6D38:BBF8:233C:447E:46CB:14E6:876B:E9DC:2C89:9D42:23FE:A52D:6368:5639:8E55,
userspace-australia-ipv6,userspace-australia-ipv6,DNSCrypt in Australia (Brisbane & Melbourne) by UserSpace.,,,,2,yes,yes,no,[2404:9400:1:0:216:3eff:fef0:180a]:54,2.dnscrypt-cert.userspace-bne,9D13:6D38:BBF8:233C:447E:46CB:14E6:876B:E9DC:2C89:9D42:23FE:A52D:6368:5639:8E55,
v.dnscrypt.uk-ipv4,v.dnscrypt.uk-ipv4,"DNSCrypt, no logs, uncensored, DNSSEC. Hosted in London UK on Digital Ocean",,,,2,yes,yes,no,104.238.186.192,2.dnscrypt-cert.v.dnscrypt.uk,ED49:3D8C:EAD7:9066:4F06:3C47:B795:9A23:692D:7C90:363C:9E43:CCB5:917B:E5B4:1EE5,
v.dnscrypt.uk-ipv6,v.dnscrypt.uk-ipv6,"DNSCrypt, no logs, uncensored, DNSSEC. Hosted in London UK on Digital Ocean",,,,2,yes,yes,no,[2001:19f0:7402:1574:5400:2ff:fe66:2cff],2.dnscrypt-cert.v.dnscrypt.uk,ED49:3D8C:EAD7:9066:4F06:3C47:B795:9A23:692D:7C90:363C:9E43:CCB5:917B:E5B4:1EE5,
wevpn-singapore,wevpn-singapore,Private DNSCrypt service by WeVPN in Singapore - https://wevpn.com/dns,,,,2,yes,yes,no,143.244.33.74:15353,2.dnscrypt-cert.secure.dns.test,1535:F0BB:931F:6240:4EAD:1A43:7A80:7EC8:E584:8C29:DFFA:5DF2:8B18:6DBB:3B8F:06C9,
yandex,yandex,Yandex public DNS server (anycast),,,,2,no,no,no,77.88.8.78:15353,2.dnscrypt-cert.browser.yandex.net,D384:C071:C9F7:4662:AF2A:CCD5:7B5D:CC97:14D4:07B6:AD36:01E1:AEDC:06D5:6D49:6327,
